featurekey,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NFIL3,5.652754299648167,-1.189566869201177,0.10007402491952143,-11.886869446470403,1.3850114663714502e-32,9.160808368298261e-32
NFILZ,0.3098994935218002,-1.4277193864100897,0.25623303345457465,-5.5719567737279965,2.5189392859306462e-08,5.077430458519133e-08
NFKB1,12.045316483102773,-1.3583508969359963,0.08197517414496261,-16.570271562143027,1.1430839752918417e-61,1.214053865268594e-59
NOCT,1.9205440826069333,-1.6321373710044984,0.14127935079393347,-11.552554296381874,7.165853760848618e-31,4.276050892134525e-30
NOMO2,3.220067037795539,-2.372521526448626,0.2138603554214527,-11.093788382485004,1.3446974523124387e-28,7.017238772883892e-28
NOTCH2NLC,4.335207605691171,-1.6360857999737832,0.12191162347440954,-13.420260950894594,4.600902884523375e-41,5.517719681902403e-40
NPFF,0.5590114979288522,1.273271147024646,0.14746501999003,8.63439442866336,5.903895726184662e-18,1.8015546218615993e-17
NPIPA1,1.4626954602946334,-1.0319068792498836,0.08923606059821378,-11.563787916367737,6.287284266439361e-31,3.7654838793283685e-30
NPIPA9-ENSG00000183889,0.5282269081114044,-1.565043581904433,0.19034315132417948,-8.222221661334993,1.9976752898056685e-16,5.673481396023734e-16
NPIPB12,0.2831749044434314,-1.2824869419379563,0.21414875974946845,-5.988766609894595,2.1143831723705654e-09,4.47521702848841e-09
NPIPB13,0.5190869498788722,-1.1201174473019517,0.13275788998507185,-8.437294743294768,3.2476675592154304e-17,9.566104584337071e-17
NPIPB3,0.3025666752809406,-1.2845869325810741,0.201926677196868,-6.361650428827038,1.995972948922084e-10,4.4157872988066427e-10
NPTN,8.606423507851554,-1.2608549920520289,0.08471510102889696,-14.883473864027406,4.2200637886390125e-50,1.1389543274529753e-48
NR1D2,12.828278971157212,-1.2707107619869087,0.07563438564725919,-16.800701838356986,2.411733465378821e-63,3.4906295244497586e-61
NR4A3,5.474407641426158,-2.0350419310970316,0.1559960334646832,-13.045472284766497,6.743779470606999e-39,6.736022755383702e-38
NRARP,0.21092610886566351,-1.2197563616889073,0.32860312542485287,-3.7119438840147283,0.00020567359230079142,0.0003385015878636102
NRF1,4.72098847923705,-1.0112568295001318,0.06982838979678536,-14.48202990850988,1.5737980019152138e-47,3.333426097887274e-46
NRGN,6.627931415038851,-2.0425280124085567,0.15701861531725778,-13.008190196312757,1.0991444148902885e-38,1.0832222294409432e-37
NSF,6.393917223086679,-1.3364084361541642,0.09170754549599223,-14.572502501580608,4.202112300257157e-48,9.485593866773152e-47
NT5E,0.3209296300932676,-1.0337157612269585,0.18251368203107438,-5.663771338802755,1.4808170994401068e-08,3.0216037096108215e-08
NTRK1,0.4199257480022839,-1.3947243399905187,0.21132239894529609,-6.599983470524407,4.1120362656679564e-11,9.388492327568209e-11
NUDT19-DT,0.3515553752097877,1.181025934484684,0.19610496380424283,6.022417340050685,1.7183113142952483e-09,3.646841565977681e-09
NUFIP2,20.480713378879752,-1.0134213870516688,0.0533789304430275,-18.985419502425508,2.251310745191958e-80,3.0214636846608068e-77
NUP133,5.673427161167551,-1.391303756569367,0.09501048105155825,-14.643687108734499,1.4782922080561383e-48,3.442275688885295e-47
NUP98,9.35940743931209,-1.0692576251036996,0.06831221353958716,-15.652510286232507,3.1936917790267655e-55,1.5015436857889216e-53
OASL,7.936903825730313,-1.1369796537788017,0.08335830023203877,-13.639669362425451,2.326128267692003e-42,3.1361307411814647e-41
OMD,3.18640106384817,1.1639072332492622,0.14173547359652441,8.211827312635467,2.1784743275048468e-16,6.178831219395591e-16
OR11G2,0.4581816858973073,1.37908487642247,0.3335595198200991,4.134449159676992,3.558070052687812e-05,6.117841624485227e-05
OR2A25,5.19282180225455,1.1324197858333385,0.1434972230347958,7.891579794256677,2.983849503048236e-15,8.073784863178356e-15
OR3A3,0.35425823927854305,1.1091850211353576,0.23794275383931915,4.66156251131052,3.1381771920287595e-06,5.716795395597307e-06
OR4D9,0.8529339526011571,1.3331636236297708,0.18473010936238418,7.216818244905112,5.321802930547505e-13,1.3168919990558634e-12
OSBP,6.409470457785375,-1.2428369064303,0.07660856060553191,-16.22321182654559,3.4563773671777607e-59,2.657630159981525e-57
OSBPL3,6.168022437716266,-1.020812998193498,0.07154546548173578,-14.268032101267023,3.462109703767056e-46,6.388890694589131e-45
PABPN1,28.400841579510754,-1.553877427171609,0.07735917103048776,-20.086531518793237,9.679206633338548e-90,4.7631375842659e-86
PANO1,0.7936869426790666,1.7301444646615995,0.18073894471433274,9.572615727043125,1.0423451747057099e-21,3.818397472501339e-21
PCSK1N,0.6115495773315438,1.0218344648198858,0.1604413017206037,6.368899116758182,1.9038977980521262e-10,4.219039806761264e-10
PDF,0.5483759528676375,-1.6205626863263018,0.19525131364359907,-8.299881092141522,1.0421564860730645e-16,3.004952383573565e-16
PDGFA,0.5902518693422679,-1.9421763503056027,0.32191306768222183,-6.033232401186124,1.607120245727094e-09,3.414783561840686e-09
PDIK1L,1.2072109742809134,-1.0178633277663334,0.0959859925452398,-10.604290280028073,2.8461665166140675e-26,1.3171773130023034e-25
PDXP,3.4139418214718376,-1.3122869848997247,0.10160974714000089,-12.914971465204193,3.70581412216307e-38,3.5069829413777826e-37
PEAK3,1.2845237328828676,-1.1740733720349177,0.12917147513301136,-9.089261935159776,9.97136288731666e-20,3.3035733910560113e-19
PF4,3.1006647221234935,-1.0330548365692345,0.1346204247061961,-7.673834329551679,1.669296564682339e-14,4.37723360291392e-14
PF4V1,0.45173731603245904,-1.2840806692171252,0.21003950050396644,-6.113519914759444,9.745720257598881e-10,2.0921341887877314e-09
PFKFB3,2.0029354778047366,-1.0437983735140837,0.08721948239439266,-11.967491033645363,5.259508895483137e-33,3.55034887169719e-32
PHLDA1,6.366756347896059,-1.1573325034775914,0.09795791379792307,-11.81458912921571,3.2814920713949683e-32,2.1182626781811944e-31
PHLDA1-AS1,0.5830336886607109,-1.5940928452247787,0.24786804494974923,-6.431215631478241,1.265874282007965e-10,2.826391715862612e-10
PHLPP1,0.7188812538829527,-1.0304893680877185,0.11286802688231638,-9.130037943891535,6.84752906268866e-20,2.28865907974808e-19
PHOSPHO2,1.7787765137002827,-1.0359895382984075,0.08914972186757485,-11.620782618226128,3.2316225770038864e-31,1.967358519765294e-30
PIK3IP1-DT,0.36555509929206387,1.070307198566703,0.20897904873626227,5.121600490762413,3.0295321674120514e-07,5.800905757134126e-07
PIK3R4,3.2063703752529573,-1.3084053582542734,0.09133079162567949,-14.326004789455794,1.5053499635960632e-46,2.905030263080873e-45
PIK3R5,18.411828580825844,-1.0342799375657934,0.06101935329469966,-16.950031124889588,1.9235193481313646e-64,3.1552129040514817e-62
PIK3R5-DT,0.5813994869358424,-1.4209575926819926,0.17562371477925798,-8.090920946911975,5.921527979277085e-16,1.6481809494356636e-15
PKD2L2,0.47173388328821636,-1.3718391518018462,0.16344404935978216,-8.393325772185669,4.7257977544458675e-17,1.3807035869559537e-16
PLA2G2C,0.6800642170656267,1.4079554321289938,0.194687451633427,7.231875605316383,4.763684552366192e-13,1.1819542024635644e-12
PLAA,7.396518054445755,-1.1281227380083414,0.07348821911253783,-15.351069213975173,3.4839651638226913e-53,1.2762723998390667e-51
PLCB1,9.681198075033876,-1.040338598667595,0.06541212700674323,-15.904368903343384,5.909581168171709e-57,3.381517317275928e-55
PLCB3,0.695950189775973,-1.0737419934718588,0.11588333381858835,-9.265715423347826,1.9377387162559613e-20,6.66360043514716e-20
PLCE1,0.9072482954631841,1.1769069066317506,0.1445684894517459,8.1408259233737,3.9259050296829623e-16,1.101237620239589e-15
PLCG1,5.610047620178202,-1.2363870957246104,0.08287694205201988,-14.918348398382745,2.503946526436716e-50,6.943294077790497e-49
PLK2,2.526678401296847,-1.1302529164764223,0.09721090936029679,-11.626811475318263,3.0113692888748264e-31,1.835542725502026e-30
PMEPA1,0.4354057599057491,-1.3274139267995029,0.2549625594111117,-5.206309231698323,1.9263353346659014e-07,3.7223152546692015e-07
PNP,8.421616443688379,-1.0734552113961806,0.06567568453273262,-16.34478908036616,4.738076554793143e-60,4.0667572196750676e-58
POLR3B,1.5302214036716053,-1.022599294647605,0.0880434930871581,-11.614706082087057,3.469795163847655e-31,2.10714051846495e-30
POM121,15.475864543839789,-1.0880164879178695,0.0641352991994536,-16.964394046627273,1.5064564430061463e-64,2.55630074345974e-62
POM121C,15.011673223263095,-1.057591634093395,0.06962297863423246,-15.190266990004861,4.102453271048293e-52,1.3610003964154144e-50
POU3F1,0.22915567500049783,-1.1083440261055473,0.2645847516163866,-4.188994336727695,2.8019339153432146e-05,4.8476444852000324e-05
PPBP,8.801983722451391,-1.5665889005349347,0.14135461324355433,-11.08268675912047,1.5223451817306127e-28,7.933068096678092e-28
PPL,0.403495987967872,1.193744499496392,0.221408543010007,5.391591865732292,6.983624096584949e-08,1.3774113899516846e-07
PPM1D,5.145458470690169,-1.3726855368204225,0.09054701765780346,-15.15991992147212,6.514871893972076e-52,2.1231579198832173e-50
PPP1R16B,9.886933414742428,-1.14977963070528,0.07565141138754795,-15.198389687869472,3.6242093769510375e-52,1.2132472342840853e-50
PPRC1,2.863794137486991,-1.2624640030905165,0.08969206343244392,-14.075537508861135,5.369507126657676e-45,8.967198383580008e-44
PPT2,2.187780061992898,-1.1498006604552264,0.09166018603665796,-12.544166777005918,4.2789133871855565e-36,3.505527099612673e-35
PRAG1,2.260069714203868,-1.1896171692481203,0.10010033450661646,-11.884247691195165,1.4291602155034192e-32,9.448585876165239e-32
PRDM10,1.1170857828036993,-1.362134530561087,0.117791130680161,-11.563982132574136,6.2730757002617675e-31,3.75849904882161e-30
PRICKLE4,0.3233268563049761,-1.3044021851536605,0.2036150292498586,-6.406217605641537,1.491740162366229e-10,3.3216530945720423e-10
PRKAR2B,1.2052857175176361,-1.9527271695174,0.19477017154936604,-10.025801969489285,1.174025854291937e-23,4.7786445235489013e-23
PRKY,2.878410050457248,-2.29310335687226,0.4307228519644054,-5.323848842507573,1.0159433884320786e-07,1.9891740375892277e-07
PRMT3,2.706829552969788,-1.124776685741285,0.07838092986137055,-14.350131948302172,1.0633473432718225e-46,2.081988969326514e-45
PRMT5-AS1,0.6334565707009159,-1.1816272352215773,0.14603879430733085,-8.091187282297783,5.908592251638027e-16,1.6448905791237446e-15
PRR29,0.5560192408491844,-1.1707975489082316,0.13901636525194438,-8.422012378084789,3.700719545038174e-17,1.0878877467821299e-16
PRR7-AS1,1.5959670979716134,1.4169312598067476,0.14814412371358338,9.564545823945014,1.1269519000485576e-21,4.1221979436117085e-21
PRRC2B,10.163655976259719,1.1790266616029683,0.1432329096290231,8.231534670744855,1.8483000984961361e-16,5.26054643418131e-16
PRSS30P-ENSG00000172460,18.638449273873704,1.1444354150300393,0.15711452716704102,7.28408400970649,3.2386316145964115e-13,8.090003134735502e-13
PSMD6-AS1,0.5518397684611975,1.0985622287361803,0.16136644826924504,6.807872643408463,9.905248829919743e-12,2.3244506195534125e-11
PTCSC1,4.679310220320985,1.1802444621889776,0.0983205310567565,12.004048895013288,3.383309894163359e-33,2.318839552810291e-32
PTGS1,0.5847522592916751,-1.1625076955438889,0.16133462541441243,-7.205568504329507,5.780217480342648e-13,1.4262635912134134e-12
PTOV1-AS2,0.28365187011659293,-1.2396461137313974,0.19610743961815583,-6.3212599998507635,2.594390780024149e-10,5.719126636627819e-10
PTP4A1,1.3268973589776065,-1.1844642901598381,0.33746006908614606,-3.5099390969942306,0.00044820934174426063,0.0007229230320299924
PTPN3,0.42692903260545256,1.5823155106945614,0.28167024126467666,5.617616911144367,1.9360916914477837e-08,3.9288689540678526e-08
PTPRCAP,8.206476968056426,-3.03347905660121,0.5269032082857482,-5.757184638276305,8.552834671262368e-09,1.764963632259524e-08
PTPRM,1.875660497172597,-1.2499393651575406,0.1391340259830069,-8.983707301837162,2.6179355674066707e-19,8.497929371509384e-19
PVRIG,17.529901707273083,-2.579639114533397,0.1961548231023475,-13.151035869189007,1.678589389557948e-39,1.773873669151323e-38
PWP2,1.6578710727758434,-1.6881645843926092,0.16035012871286106,-10.527990204582904,6.419033733624418e-26,2.916718836857411e-25
PYURF,14.602045459609396,-2.254304435834354,0.2868568677136024,-7.8586385391513405,3.883310613248571e-15,1.0457737063733793e-14
QPCTL,0.9150621192146965,-1.146867382742415,0.11124647962759356,-10.309246518016973,6.400112103263837e-25,2.773256676856003e-24
RAB11FIP3,2.3661070295662765,-2.0149812356126424,0.15009329851837078,-13.424858108278679,4.324117834142615e-41,5.202685540786261e-40
RAB24,12.571181103481711,-1.2411829943827801,0.07191958297802142,-17.25792813289928,9.754870447889728e-67,2.4001858737032675e-64
RABGAP1L-IT1,1.0098011459651146,1.1789560550108629,0.13269752568438867,8.884536836164703,6.418761802825511e-19,2.0420010240735368e-18
RANBP10,2.3940122900361076,-1.0239038422874696,0.08504750889816884,-12.039198508605761,2.210932393553203e-33,1.5295217865991536e-32
RANBP2,12.788062782366556,-1.1701215337168662,0.06842555480128988,-17.10065102307082,1.4675577264440298e-65,3.095079245070459e-63
RANBP6,5.104771489256468,-1.0013199424881851,0.07039740627475148,-14.223818681332801,6.519599540244341e-46,1.1780764750627563e-44
RANBP9,7.6101341866706615,-1.0206850829377894,0.06590668665984359,-15.486821363145305,4.258297567722996e-54,1.736609032936315e-52
RAPGEF2,3.328996623107442,-1.272723036861161,0.09685581449826909,-13.14038856060527,1.9323194673873897e-39,2.0318256621823387e-38
RASA4,1.3936384084612963,-1.842206057540177,0.14611463752023351,-12.60795009182481,1.9089374621087625e-36,1.607623716663529e-35
RASGEF1B,3.144680612708514,-1.0502560723529728,0.09873534684971166,-10.637082927875893,2.0030227498802477e-26,9.340058388023403e-26
RCOR1,4.7326987114684975,-1.3802992117995005,0.09851336405374923,-14.011288976452011,1.3296948232885128e-44,2.136048386964996e-43
RDH5,3.5371794754280987,1.2839229324285215,0.10443864102398147,12.293562227927724,9.808646966890324e-35,7.302322499858893e-34
RELB,9.336923840760296,-1.1255862091732314,0.08024301011766038,-14.027218165454954,1.0623773310773654e-44,1.7216110360806965e-43
RELL1,3.709006200427522,-1.0400506262058946,0.08339472424588511,-12.471419932265238,1.0690394739914211e-35,8.530935002451541e-35
RFLNA,1.8056170507358467,-2.277187273414521,0.24088067875804753,-9.453590404823794,3.27403384370045e-21,1.1669377507134171e-20
RFNG,2.928193970875261,-1.0252166925112896,0.09167488324633198,-11.18317969117577,4.929164182366004e-29,2.6317993064835194e-28
RFX3-DT,1.1579538510136218,-1.4345110980741136,0.13519189468033402,-10.610925318163973,2.651104327124265e-26,1.228444858171234e-25
RGPD2,0.33033705648404044,-1.2930546554441,0.2799881224062986,-4.6182482468585295,3.869931165785553e-06,7.0160621147601765e-06
